"V1";"V2"
8,04731;-4,88662
11,2375;3,01746
5,1105;0,269883
6,34456;-3,71832
9,09493;2,02836
8,01686;-2,26484
9,95815;6,67136
10,073;-5,96494
8,5259;-1,55089
8,63238;-1,97034
8,28997;0,706405
7,90183;-0,888256
7,32836;-0,803496
9,67965;-0,771563
8,79674;0,706112
8,32337;4,08369
9,81871;-0,849995
8,43905;1,03966
9,78637;0,184881
7,64558;-4,89767
8,22954;-2,59089
8,80164;0,217603
9,27446;-2,85584
7,9565;-3,16253
6,88808;1,16889
10,5153;-0,505739
9,5922;-2,58048
9,73777;4,52998
5,24049;1,31851
6,41871;-0,0358384
9,62282;1,48769
7,20748;-3,67993
9,69823;5,00318
5,90921;-2,06383
7,39026;1,22465
7,80643;3,19455
10,0482;0,524928
6,54353;0,00109869
8,50854;0,628461
6,85735;0,0607903
11,291;-1,66965
6,44954;2,40385
9,73731;-1,24028
7,60214;-2,23978
8,62179;-4,88772
8,36149;-4,5666
8,63232;0,0943378
6,62618;-1,77265
6,73818;-1,92942
8,52811;4,67163
7,58597;-2,13659
9,29786;-2,65974
8,65448;-0,523772
8,07383;1,14914
9,8528;1,39256
5,85915;-2,42513
8,84712;0,805192
9,17578;-1,14853
10,0153;4,45207
8,31818;2,45892
8,59704;-2,09505
8,53503;-5,78822
8,82572;4,51317
8,31072;-4,95844
8,18246;-0,25343
9,65633;1,97728
6,59622;1,5515
8,55303;-4,08889
11,4203;1,35158
12,4761;-2,50378
9,9861;-1,87648
7,16331;1,61416
9,41639;-0,680316
10,9345;-2,79792
7,41624;-1,52791
11,309;-1,57946
10,4984;-2,0423
8,887;5,581
9,25853;-7,16143
7,64768;-1,50731
7,73847;-4,43388
7,92336;-6,30531
8,55215;1,02912
8,89508;-5,53115
6,26833;-0,508081
7,1283;-1,64686
9,26061;-3,68983
9,33413;-8,03635
5,77097;4,97839
11,2793;-1,18948
7,91054;-1,08779
8,72444;-0,488243
8,7434;-1,68898
10,6764;-3,88999
11,2826;-3,23266
6,76457;-0,640593
6,80258;2,78013
11,1112;0,323643
7,19656;0,793745
9,55187;-0,809177
6,43023;-0,542349
8,54799;3,08994
9,49333;3,42415
7,64632;0,452481
9,21912;0,197608
8,6011;-2,11131
8,33068;2,61018
8,6887;-2,72417
8,9796;0,0784963
6,83457;-3,28685
9,81484;-2,21538
5,66555;1,82633
10,6438;-1,77971
8,97819;-0,819641
10,6987;-1,83115
7,12177;-1,7971
7,54859;-0,52922
9,98119;-0,639174
8,56338;-2,94232
7,73968;-1,98427
6,49574;3,20202
6,99226;-0,262286
10,3891;2,13512
7,5888;0,596278
9,7318;-1,58389
5,1857;3,76842
10,6456;-1,70854
8,27424;0,421787
9,26922;-2,5318
12,4228;-1,64796
7,23462;-0,771073
8,82901;-2,98353
7,79333;1,11653
4,5274;-5,34881
6,38176;1,54411
7,55688;-0,228735
10,0207;-3,94477
9,33372;-4,59182
9,88245;-4,36024
6,87607;3,66085
8,27782;1,04327
11,5177;0,653945
7,2691;7,82304
8,17629;-0,00301371
9,08218;4,29567
7,568;-1,5908
8,42283;1,14002
5,03;-0,346601
8,65172;-2,78889
8,76908;-4,75674
8,32882;0,215972
6,929;-6,73162
7,94977;-1,9159
6,82108;0,631436
6,97004;0,426509
9,68758;2,02541
8,92996;-4,7527
8,75096;1,85807
8,42768;1,13994
10,6104;-1,65432
7,8959;-4,43924
8,10868;-0,261993
9,52777;-1,32396
7,6344;-1,01118
6,2777;0,721938
9,94383;-6,27115
7,85773;-6,72987
8,32597;0,399484
8,83376;2,33812
8,22174;-1,30255
5,30873;-1,82709
8,86261;-3,06555
9,23656;-1,56509
9,10141;-1,59429
7,06025;-4,17356
8,8326;2,07759
9,35763;0,653313
8,00377;-5,53162
9,48813;-4,12359
5,33993;-2,42673
9,50472;-0,765174
9,4976;0,152342
9,54728;-2,98279
10,0872;0,256121
7,93712;-0,396255
9,21533;-0,21478
7,3464;-3,91658
10,1684;-1,56355
6,84861;3,28279
8,08902;-2,21061
8,07584;-3,88074
8,675;-2,25913
7,00021;-5,68293
5,36902;2,33533
8,3592;1,96
5,93486;4,28185
8,37233;-2,23977
8,83886;-0,980635
9,75976;2,39212
8,2301;-6,47759
9,57437;0,585527
9,45646;-0,560136
5,96911;2,77774
7,28703;-1,55722
9,95839;1,60826
5,86939;-0,564397
8,62758;-1,08039
10,0574;-0,941047
8,34141;0,98093
11,0024;-3,24136
6,11382;-2,79337
9,21597;-0,847894
10,0438;-3,6277
8,48703;2,11388
9,50888;-3,43224
6,62106;-0,540453
7,5937;-6,37405
7,1264;-3,25949
9,63069;-0,425673
9,04671;0,508026
5,89178;2,33332
8,86143;-2,03025
7,08893;0,163472
4,38696;-2,79862
8,01368;-1,47325
9,38482;-2,41798
10,6213;-3,13643
7,018;-0,437251
7,71886;1,02051
8,19038;0,803325
6,62438;-0,762556
8,68288;-4,1316
8,35329;-1,97612
8,5802;1,87647
10,9254;-2,34683
6,46345;-2,17743
8,43819;-7,39423
9,76415;0,383676
7,38617;-0,485803
9,68972;-0,783077
8,22527;0,905327
7,60144;1,53806
8,90097;-1,73917
8,14169;-3,76076
7,09209;-2,08074
7,79254;-5,3341
5,4391;-2,13607
7,08447;4,3199
7,23809;-0,338019
8,49592;-2,45781
4,73538;-2,35529
9,19498;-4,00992
7,30019;-7,69963
9,19646;-4,07159
7,59267;-1,98511
6,74196;-2,45112
8,15177;-0,971521
5,72504;1,85313
9,16314;-2,29781
8,32031;0,290075
7,15378;3,72572
9,16722;-2,29979
8,17944;-7,25172
7,26099;-0,36384
7,81919;1,35419
9,15234;0,602795
10,5076;3,06349
5,83174;-0,573782
9,11998;-4,71496
5,04429;1,50786
7,79176;1,31706
6,04088;6,77184
9,98612;-3,15906
7,69285;-1,1418
8,44339;-1,89379
8,82283;-0,766134
7,84654;-2,71238
9,50196;-2,27604
7,64406;0,777649
7,95629;0,375423
6,47467;-1,68923
8,02071;-4,79464
7,66022;-2,95654
10,0189;1,31183
6,31294;-0,531089
9,70786;-6,13769
6,83158;-7,06621
8,73212;-4,86762
7,59806;-4,35385
