"V1";"V2"
2,74531;41,5491
-0,628169;41,1591
2,77995;40,7192
1,13716;41,8618
2,0932;41,3531
2,00509;41,3275
1,345;41,0071
2,26561;41,4549
-0,376379;41,4281
1,20464;41,574
1,00007;40,9378
0,99736;41,1714
0,134799;41,8113
2,47585;41,6346
-3,0587;41,3887
0,73266;41,4888
0,35745;41,8429
0,157674;41,7513
2,69103;41,8298
0,536346;41,5344
2,46873;41,4813
-1,91946;40,8824
3,44394;41,3349
2,88157;41,1534
-0,53933;41,4057
-0,0276636;41,1127
0,0933292;41,0051
0,209173;41,7993
-0,0668266;41,7829
1,79969;42,3177
0,510155;41,6298
0,138588;41,1531
-0,0175984;41,694
0,618498;41,4093
-2,63433;41,9534
2,01141;41,222
5,57577;41,5869
1,40539;41,53
3,55797;41,8688
2,68052;41,3868
2,95654;41,486
-0,391807;41,2361
4,00381;41,4221
1,44796;41,0426
0,201187;41,4562
0,795719;41,6564
0,502018;41,5292
0,290078;41,6987
1,19913;40,799
-1,28096;41,1171
0,030134;41,4093
1,99597;41,7064
3,11367;41,4872
0,546399;41,5257
-1,00433;41,3616
1,22587;42,0243
-0,202468;41,863
-1,40362;40,9709
0,977844;40,6544
2,66858;41,613
3,87692;41,5591
2,62824;41,4168
2,06543;41,3289
-1,63482;41,3223
2,00123;41,8628
3,64504;42,0131
-2,36311;41,4501
2,6411;41,6433
-2,92099;40,9228
1,66685;41,3844
1,35976;41,4936
2,40343;42,0717
-0,156466;41,3901
-0,149501;41,3361
2,31285;41,3771
2,73428;41,6682
0,703931;40,8069
2,65785;41,2811
4,18733;41,6706
0,21038;41,3822
-2,37222;41,5596
2,14842;42,1958
3,90696;41,487
0,805582;40,9885
2,88554;41,7446
0,4224;41,6881
4,28893;41,7292
0,709065;41,6168
-1,114;41,4017
0,00767159;41,3293
2,98833;41,0246
-0,895292;41,5051
3,71451;41,4277
-0,34788;40,9151
3,6333;41,5624
3,86924;41,0564
-0,228855;40,791
3,10995;41,9408
2,41484;41,1329
3,09267;41,8441
-1,40569;40,9844
2,83167;41,5767
-2,08925;41,8549
-0,0413047;41,4111
0,99321;41,2289
5,49799;42,229
4,56593;41,3131
2,62767;41,2001
1,86702;41,0572
0,99447;40,9706
1,35799;41,9985
0,965753;41,2944
5,09559;41,0741
1,36247;41,1762
1,69922;41,2959
3,16355;41,7048
5,25389;41,8303
0,531934;41,5568
3,28948;41,5843
0,10212;41,6421
-2,09836;41,0296
1,1946;41,225
0,0879961;41,7027
-0,344577;41,9871
-0,195498;41,2088
2,2287;41,8828
3,68595;41,7489
2,78496;41,4375
-1,03866;41,3832
0,83488;40,8743
1,10206;41,6165
2,73045;42,2562
1,85942;42,4662
-2,90953;41,7232
3,17061;41,78
-1,28675;41,7713
3,19275;41,3024
2,44799;41,3377
1,01221;41,3916
2,86381;41,3201
2,53895;41,8226
0,652358;41,6833
2,95625;41,2105
2,05624;41,7799
2,73907;41,5838
0,19292;41,4039
-1,90824;41,2266
3,31292;41,8747
-1,17188;41,499
-1,19959;41,2945
3,40639;41,4131
-0,309029;41,7895
2,29291;41,4736
2,85405;41,4468
0,906787;41,8417
1,03301;41,6805
2,7908;41,5484
1,60142;41,0711
3,07553;41,3319
2,66801;41,3151
48,886;3,35011
55,316;3,58154
47,1063;3,17478
54,3381;3,23281
35,7588;3,16244
46,5543;3,20303
48,3758;3,10358
41,019;3,38711
54,3551;3,20353
53,6196;3,15156
46,3802;3,32142
48,4628;3,09102
46,1492;3,13285
48,8009;2,98271
46,13;3,22293
48,8492;3,34834
52,4008;2,66164
45,6532;2,92506
51,7098;3,12781
49,3856;2,97191
54,8398;3,09188
51,3912;3,04305
48,7477;2,88549
47,3895;3,08509
45,5833;3,42697
52,1513;3,39225
54,7523;3,18117
47,9111;3,25294
43,0308;3,16003
52,5527;2,9644
51,0376;3,12574
39,7875;3,24483
51,4247;3,02434
54,9527;3,11502
55,269;3,23374
51,6444;3,05482
52,7037;3,40248
47,3123;3,11889
39,9097;3,19928
46,9546;3,21672
54,7801;3,45151
46,8688;3,30554
50,7167;3,3011
43,3099;3,13502
49,0462;3,30432
46,7978;3,14741
39,1666;3,25898
52,8303;3,2864
43,5847;3,09874
43,8313;3,26131
47,0354;3,37726
43,8303;3,00101
49,2136;2,82901
53,0703;3,25768
51,5605;3,13051
51,6565;3,03276
54,6803;3,21761
52,8974;3,11975
49,8031;3,24972
42,8679;3,06868
49,5025;3,32133
48,1066;3,25607
47,5742;3,31038
47,9516;3,0661
45,6754;3,06525
53,5019;3,2174
56,9209;3,22393
46,6076;3,35139
45,2508;3,26453
46,0753;3,31525
49,2275;2,83737
48,5368;3,22135
51,592;3,38263
52,079;3,253
47,6605;3,08802
52,4266;3,27257
47,2102;3,07995
51,7235;3,18778
48,3572;3,40303
50,4224;3,43891
48,8457;3,17306
52,3564;3,11401
47,8073;3,37175
45,2018;3,14158
42,0126;3,31301
47,1974;3,31478
44,5805;3,09813
47,9305;3,36138
46,6296;3,05323
51,7158;3,24734
48,241;3,1586
43,1457;3,10903
53,5328;3,23527
51,2686;3,05155
52,6787;3,26477
47,3229;3,25546
50,6885;2,86228
56,2172;3,26755
52,5805;3,00891
41,348;3,07628
44,471;3,22271
45,5043;3,17306
52,9761;3,46274
48,554;2,92317
51,0304;3,05824
55,3886;3,30659
43,4255;3,25965
51,9739;3,21241
55,4508;3,21214
48,8366;3,10592
49,6574;3,43084
48,2048;3,10344
48,3355;3,2727
51,1717;2,86299
48,2203;3,30793
45,1759;3,38008
52,557;3,41086
50,9924;2,98479
49,8621;3,36127
49,4336;3,19372
48,7223;3,22935
46,0376;3,53939
51,1494;3,09522
51,5877;3,53584
54,3164;3,11213
55,9106;3,02007
51,3509;3,13694
43,6607;3,15844
50,3681;3,26108
52,1362;3,10912
45,1316;3,19939
49,7714;2,84767
45,1409;3,17001
48,7293;3,39143
55,6218;3,21222
45,5667;3,1683
50,5703;3,15988
40,4224;3,12012
46,9099;2,99161
48,3726;2,85729
46,6999;3,18883
54,7413;3,47117
47,3751;3,41105
46,3036;3,33763
45,4987;3,39797
46,846;3,31468
51,7251;3,43504
45,2973;2,98033
49,8244;3,21477
47,2907;3,14332
55,7865;3,11092
47,5147;3,13047
51,9523;3,20358
53,7048;3,15458
55,4817;2,9708
47,0661;2,97888
51,1148;3,04882
55,7009;3,23165
49,0926;3,0482
49,2104;2,91954
48,1315;3,1167
43,8467;3,23859
51,1212;3,10171
48,241;3,27221
48,7886;3,24547
52,8058;3,31464
54,6923;3,14978
52,6505;3,483
48,0059;3,01747
43,2217;3,1709
45,0373;3,21427
50,8902;2,88582
52,6745;3,24796
49,427;3,25409
47,8334;3,05406
