"V1";"V2"
-1,98666;-0,00228882
-1,95108;0,0324707
-1,92679;-0,046936
-1,86688;-0,0678101
-1,84698;0,00881958
-1,8064;-0,108795
-1,784;-0,0264893
-1,75729;-0,185059
-1,7399;-0,0408325
-1,73489;-0,0914001
-1,71658;-0,0308838
-1,70807;-0,2211
-1,70673;-0,13623
-1,68668;0,270081
-1,66971;-0,298492
-1,66492;0,0975952
-1,64252;-0,310272
-1,63068;-0,00253296
-1,62112;0,0897827
-1,61554;0,166321
-1,61407;-0,382355
-1,6066;0,347351
-1,60306;-0,199371
-1,595;0,07901
-1,59195;0,360779
-1,58936;0,0223999
-1,58804;0,362732
-1,58438;-0,113831
-1,57388;0,262939
-1,57239;-0,361328
-1,56573;0,375122
-1,5614;-0,254486
-1,55902;-0,278778
-1,5528;0,357086
-1,54498;0,242676
-1,54111;0,337036
-1,53464;0,228302
-1,52863;0,0557861
-1,51288;-0,059082
-1,51059;-0,361603
-1,50552;0,48938
-1,49927;0,184265
-1,49515;-0,0307922
-1,48807;0,451355
-1,48346;0,173767
-1,47598;-0,3526
-1,46555;0,50119
-1,46384;0,35965
-1,45856;0,42926
-1,45395;-0,180267
-1,44376;-0,00686646
-1,44016;0,107635
-1,43466;0,224274
-1,42972;-0,295868
-1,42075;-0,220917
-1,4133;0,225006
-1,40979;0,18042
-1,40314;0,413483
-1,40115;-0,119781
-1,39865;0,140106
-1,38828;-0,548767
-1,38297;0,533112
-1,37769;-0,435028
-1,37555;0,324554
-1,37039;-0,0731506
-1,36783;-0,517639
-1,34933;-0,0012207
-1,34558;0,603424
-1,33566;-0,0579529
-1,33243;-0,315948
-1,33029;-0,0121155
-1,32767;0,430023
-1,32068;-0,307617
-1,31607;-0,201385
-1,31107;-0,000244141
-1,30746;-0,573303
-1,29886;-0,345551
-1,29474;-0,344635
-1,29062;0,605804
-1,27979;0,546448
-1,27356;0,584534
-1,27148;-0,499481
-1,26971;0,453003
-1,2674;0,291962
-1,26077;-0,0504761
-1,25916;-0,0043335
-1,25595;0,410278
-1,25195;-0,203003
-1,25006;0,443298
-1,24643;-0,546661
-1,23843;-0,454926
-1,23621;0,260803
-1,22723;0,599945
-1,22549;0,632782
-1,22211;-0,634735
-1,22003;-0,143372
-1,21259;-0,475494
-1,20874;0,383606
-1,20563;-0,649017
-1,20206;-0,109741
-1,19711;0,629974
-1,1936;0,618256
-1,19183;-0,107513
-1,19003;-0,0169373
-1,18143;0,624878
-1,18051;-0,701538
-1,17413;0,072113
-1,16898;-0,657288
-1,16473;0,209076
-1,15799;-0,423492
-1,15488;-0,326904
-1,15408;-0,142853
-1,15207;-0,651978
-1,14667;-0,37439
-1,14481;0,630157
-1,13977;-0,423279
-1,13577;0,51651
-1,13055;0,545013
-1,12375;0,577179
-1,12106;-0,0520935
-1,11835;0,618256
-1,11377;0,454498
-1,11166;0,0415955
-1,10962;-0,70105
-1,10846;0,593353
-1,10416;-0,105408
-1,10339;0,57724
-1,10254;-0,0229187
-1,0983;-0,545349
-1,08801;0,614258
-1,08545;-0,551971
-1,08353;-0,284119
-1,08078;-0,181244
-1,07422;0,556244
-1,07123;-0,917023
-1,06671;0,491211
-1,06152;-0,0592957
-1,0538;0,0814209
-1,05173;-0,187347
-1,04953;0,211029
-1,04865;-0,655731
-1,0477;-0,788391
-1,04697;-0,877838
-1,04449;-0,377136
-1,03946;-0,881714
-1,03857;-0,252075
-1,03311;-0,966339
-1,03137;0,125153
-1,02905;0,259277
-1,02667;0,041626
-1,02185;0,929871
-1,02042;0,94223
-1,01749;-0,813538
-1,01392;-0,205414
-1,0123;0,658447
-1,00879;-0,918762
-1,00308;0,639313
-1,00085;-0,768555
-0,998718;-0,864166
-0,995728;-0,417908
-0,99411;-0,707855
-0,992645;0,576233
-0,986542;-0,103149
-0,98468;-0,821777
-0,983765;0,3284
-0,980164;-0,204102
-0,979126;0,73291
-0,974945;-0,215393
-0,972198;-0,355072
-0,969818;0,465332
