"V1";"V2"
4,489013;3,949385
3,234519;3,032182
2,339381;3,233512
3,067888;3,272515
3,337977;3,214286
1,623692;1,968673
4,459075;3,803079
2,746071;2,881115
3,022935;3,244224
2,634098;2,410794
2,209555;2,269341
2,93852;4,243461
3,307581;3,077136
4,325037;3,338618
2,868755;2,639683
2,849528;2,990066
3,360591;3,146077
1,935163;2,120289
3,001328;3,005997
2,815287;2,893017
1,970595;2,479919
3,990677;3,728278
3,402707;3,298334
3,945814;2,965621
2,735176;2,44998
3,608432;3,170064
3,252739;3,002152
2,484497;3,060198
3,994705;3,673803
2,799814;2,734718
2,907117;2,647374
3,115223;4,262139
2,973952;2,696356
3,986648;3,551485
3,326075;3,389431
1,859722;1,628361
2,762185;2,475341
2,888989;3,010208
2,817301;3,156148
3,017533;2,841655
3,685522;3,447386
3,414609;3,078967
2,412534;2,670171
3,551576;3,318201
3,1198;3,169698
3,662816;3,273339
1,914106;2,575411
2,720985;2,346248
3,747047;3,591311
4,447722;3,787515
2,788827;2,815561
3,065783;2,989334
3,015519;3,216941
2,533937;2,938429
2,929548;3,161733
3,606601;3,310785
3,96147;3,833018
3,200095;3,34109
3,943892;3,325709
2,584658;2,652593
3,367641;3,577944
2,17513;2,389279
3,093066;3,12978
2,019761;2,741035
4,233482;4,22158
2,910321;2,896588
1,983322;2,480926
3,507996;2,27694
3,990402;4,059343
1,925916;1,847545
3,645787;3,182974
4,467864;3,664098
3,275536;3,071001
4,161977;3,177847
3,09508;2,91792
4,149342;2,954726
3,058275;2,963149
3,212088;3,750984
2,805124;2,793954
4,023911;3,317652
1,784738;2,587313
2,851543;2,983566
3,440977;3,477416
3,884014;3,279107
2,566988;1,667821
3,63187;3,683508
4,088458;3,490051
3,419828;3,19982
2,707251;2,4476
3,235984;3,104053
3,289636;3,267296
2,4129;2,971023
3,734321;3,365169
3,03209;3,086383
3,335414;2,976608
3,027696;2,906568
4,230003;3,549654
2,794412;2,961592
2,394681;2,819956
3,058641;2,859142
4,406613;3,409665
2,688025;2,837901
3,278008;2,598025
3,077044;3,235527
2,397153;2,696722
3,55121;3,163015
4,190451;3,168416
3,975661;3,483825
2,23281;2,231712
3,067614;2,632267
4,437742;3,717017
3,95735;3,623539
1,619938;2,30633
2,358333;2,488342
2,216697;3,00325
1,918134;2,094745
4,448454;3,367367
4,092486;3,572451
3,174734;3,003067
2,684088;3,011216
2,024979;1,756264
3,234336;3,186087
2,188406;3,151204
3,201285;3,398129
3,079424;3,077868
3,771584;3,194418
3,158528;4,194937
3,240745;2,722175
3,004074;2,656713
4,359004;3,983718
3,045457;3,725257
3,311518;3,196341
3,102863;3,114399
2,70423;2,82728
2,041917;2,068468
3,529603;3,167592
1,794351;2,203787
3,494263;3,562563
4,08269;3,480621
2,457213;3,019456
3,813425;3,711249
3,066973;3,531343
2,773629;2,88963
2,249748;2,807321
3,618595;3,175283
2,797983;2,84019
1,904126;3,045457
3,362239;2,910504
2,943556;2,240318
2,555361;2,811625
3,765175;3,232414
2,491638;2,394314
3,685614;2,645451
3,340632;3,25988
1,918226;2,746071
2,996475;3,052416
2,523499;3,386685
3,628666;3,390255
4,116474;3,218497
2,613132;2,772439
3,207785;3,330836
2,992813;3,088488
3,233055;3,377255
1,7678;2,044023
2,996384;3,115223
3,60184;2,84376
3,942701;3,336421
3,245048;3,634434
2,772988;3,315912
4,425474;3,311792
3,493622;3,076952
3,58655;3,219779
3,369289;3,120167
3,822855;3,334498
2,712561;2,337275
3,655492;3,177847
2,587588;2,708991
3,208426;3,031816
3,306482;3,462127
3,516236;3,21337
2,43881;2,723365
3,334407;3,013596
4,029862;3,311426
3,439787;3,152211
3,083178;3,240837
2,100421;1,732002
3,254204;3,328455
2,785348;3,730201
4,286676;3,583987
1,88966;2,654149
2,709815;2,390561
2,923139;2,828928
2,654332;2,930189
2,894391;2,502533
3,320032;3,080798
2,326014;2,40228
1,332209;0,848247
0,332606;1,522279
1,871746;0,571383
0,207541;1,269402
1,274987;0,755776
-0,315058;1,648808
0,344783;0,985763
1,361049;0,866649
2,266167;0,112964
1,621342;0,739845
1,357845;0,763741
0,229057;1,541688
0,090167;2,268548
0,854747;0,964064
1,111011;0,955916
0,646733;1,228477
0,478088;1,719123
2,260125;0,195547
1,244407;0,994827
0,88432;1,153676
1,209342;0,657262
1,785043;0,957106
0,503357;1,339991
0,797342;1,06972
-0,031785;1,403989
1,447295;0,832316
0,872784;1,564486
0,167989;1,615665
2,123798;1,055895
0,881756;1,013138
1,551759;0,457488
1,230125;0,906842
0,793588;0,533113
1,406369;0,729133
1,399228;1,232414
0,842662;1,141316
-0,146321;1,08446
2,246941;0,728401
1,768929;0,250023
0,961959;0,926069
0,312922;1,584811
0,590243;1,318567
1,702002;0,393399
0,13329;0,976333
1,409116;0,916822
0,187765;1,056169
0,675939;0,721442
1,467528;0,469115
0,868755;0,925977
0,826731;1,108997
2,161336;0,437346
1,886944;0,347163
0,483856;1,694678
1,781289;0,356319
0,980819;0,936048
1,145161;0,52414
0,166158;1,298975
-0,324396;1,584536
-0,341426;1,224631
1,225364;1,003067
-0,391873;1,768654
0,487243;1,501587
0,555727;0,266137
1,35638;0,913251
1,426054;0,948958
0,37701;1,230766
1,322687;0,881298
1,500122;1,665929
0,299554;1,255211
0,599673;1,257958
1,203757;1,232139
-0,097888;1,645146
1,097736;1,046007
0,911328;1,066057
1,00911;0,979904
0,693609;0,765481
1,398953;1,09151
1,445647;1,087573
1,269585;1,145619
2,035539;-0,051561
-0,315882;2,136799
1,404996;1,620792
0,083392;1,695502
-0,300501;1,673162
1,384487;1,113392
0,2828;1,316553
0,106098;1,694678
0,322077;1,72956
1,707404;0,832774
1,344844;1,204581
0,537049;0,909223
2,113269;0,14922
0,928449;0,961592
1,793008;0,09273
0,832316;1,120258
0,886059;0,724006
0,6601;0,851817
0,420316;1,373867
0,638127;1,330836
1,000961;0,957747
0,699927;1,211447
0,949599;0,947493
1,890973;0,519196
1,723426;0,720435
1,51587;1,256035
1,186544;1,440428
0,507019;1,176748
0,225944;1,425779
1,159719;1,032456
1,120533;0,497131
0,635289;1,04152
1,659612;0,721809
0,931745;0,951613
0,488891;1,793649
0,992538;0,840556
-0,456511;1,874676
0,868572;0,742409
0,92909;1,108539
1,931257;0,60004
1,494903;0,540437
1,755745;0,369594
1,141133;0,991714
0,83433;1,098834
1,517609;1,001968
0,964156;0,889355
1,650548;0,798074
0,784982;0,945753
1,296777;0,94264
0,968551;1,134449
