"V1";"V2"
0,28283;0,88552
0,27609;0,86195
0,27273;0,84512
0,27273;0,82492
0,27273;0,78451
0,26936;0,81145
0,27609;0,76094
0,2963;0,77778
0,29966;0,81818
0,30303;0,86869
0,28956;0,85185
0,2862;0,81481
0,2862;0,78114
0,2862;0,79461
0,30303;0,83838
0,28956;0,75758
0,28956;0,73064
0,27946;0,74074
0,26936;0,76768
0,3064;0,77778
0,2963;0,74747
0,30303;0,80135
0,30976;0,84848
0,29966;0,85522
0,2963;0,87205
0,30976;0,76094
0,3165;0,79461
0,3165;0,83165
0,31313;0,73064
0,3064;0,74074
0,29293;0,72391
0,28283;0,71044
0,28283;0,73064
0,27609;0,75084
0,27609;0,72054
0,30303;0,72054
0,26936;0,74747
0,2963;0,70707
0,2862;0,83502
0,28283;0,86869
0,28956;0,69697
0,27609;0,6835
0,27609;0,6734
0,28283;0,69024
0,29966;0,67677
0,29293;0,6835
0,2862;0,6734
0,2862;0,64983
0,29966;0,68013
0,30303;0,65657
0,30303;0,633
0,30303;0,60269
0,29966;0,57239
0,3064;0,60269
0,31313;0,64646
0,30976;0,67677
0,30976;0,63973
0,28956;0,62626
0,29966;0,64646
0,2862;0,65993
0,27946;0,633
0,28283;0,61616
0,28283;0,60269
0,29293;0,61279
0,31313;0,6229
0,3064;0,6229
0,29293;0,58586
0,29293;0,56566
0,2862;0,57912
0,3064;0,56229
0,31313;0,58923
0,31313;0,59596
0,3165;0,60943
0,29966;0,61279
0,30303;0,66667
0,27609;0,6633
0,26936;0,633
0,27273;0,64983
0,29966;0,69697
0,2862;0,58923
0,26936;0,61953
0,27609;0,60943
0,30303;0,59259
0,31313;0,57912
0,29293;0,59933
0,3165;0,65657
0,3266;0,62963
0,3266;0,60606
0,32323;0,6532
0,3266;0,63973
0,3468;0,6229
0,27609;0,59259
0,3165;0,71717
0,3367;0,6835
0,3266;0,6734
0,29966;0,6835
0,29966;0,6532
0,29966;0,63973
0,28956;0,6633
0,27946;0,6633
0,27946;0,63636
0,28956;0,60943
0,28956;0,62963
0,28956;0,6431
0,29293;0,68687
0,2862;0,68687
0,28283;0,6532
0,2862;0,61953
0,29966;0,633
0,29293;0,68013
0,30303;0,69697
0,28956;0,64646
0,28956;0,6229
0,27609;0,62626
0,27609;0,6431
0,3064;0,61279
0,29966;0,6229
0,27609;0,67003
0,27946;0,6835
0,28283;0,6431
0,2862;0,61616
0,28956;0,59933
0,29293;0,55219
0,31313;0,55219
0,2862;0,56229
0,2862;0,53199
0,27946;0,53535
0,2862;0,51515
0,28283;0,49832
0,28283;0,47811
0,29293;0,45455
0,30303;0,49495
0,29293;0,52862
0,30976;0,53535
0,3064;0,50842
0,31987;0,47811
0,30303;0,47811
0,2963;0,48148
0,28283;0,46465
0,2862;0,51515
0,30976;0,54209
0,3165;0,52525
0,29966;0,50842
0,29966;0,51852
0,29966;0,53535
0,29293;0,50505
0,30976;0,46801
0,29966;0,43771
0,30303;0,44781
0,31987;0,47138
0,31987;0,50505
0,32323;0,53535
0,3266;0,47811
0,31987;0,43771
0,30976;0,42088
0,3064;0,46128
0,30303;0,46465
0,28956;0,41751
0,28283;0,44444
0,3165;0,47138
0,33333;0,45791
0,31987;0,45455
0,30303;0,41751
0,35354;0,57239
0,33333;0,55556
0,31987;0,52189
0,2862;0,48485
0,27946;0,51515
0,2963;0,46128
0,31313;0,48822
0,33333;0,53199
0,35017;0,54545
0,30303;0,42761
0,32997;0,43434
0,34343;0,67677
0,33333;0,68687
0,34343;0,69697
0,36027;0,7138
0,34343;0,66667
0,36027;0,6633
0,38047;0,67677
0,38384;0,71044
0,367;0,71044
0,3569;0,68687
0,36027;0,6835
0,367;0,6936
0,367;0,7037
0,35354;0,7037
0,39057;0,70034
0,38047;0,6835
0,367;0,6734
0,35017;0,6532
0,34343;0,65993
0,3771;0,66667
0,38721;0,69024
0,37374;0,70707
0,34343;0,70707
0,32997;0,7037
0,32997;0,65657
0,3468;0,6633
0,38047;0,66667
0,39394;0,6835
0,35354;0,6835
0,36027;0,69697
0,32323;0,6936
0,3266;0,6633
0,36027;0,6532
0,38047;0,65657
0,39394;0,67677
0,3771;0,69697
0,3569;0,67677
0,37037;0,6835
0,35017;0,66667
0,35017;0,68013
0,35017;0,69697
0,33333;0,69697
0,33333;0,68687
0,33333;0,67677
0,3367;0,6835
0,3367;0,6936
0,36364;0,6936
0,39057;0,69024
0,38047;0,6734
0,36364;0,6734
0,36364;0,6633
0,36027;0,68013
0,34343;0,69024
0,3569;0,62963
0,3468;0,62963
0,34343;0,60269
0,36027;0,60606
0,3367;0,61279
0,34007;0,63636
0,36027;0,63636
0,3569;0,61953
0,37037;0,6229
0,38047;0,63973
0,3468;0,61616
0,34007;0,59596
0,37037;0,59596
0,38384;0,60943
0,38384;0,61953
0,37374;0,63636
0,3468;0,6229
0,3569;0,60606
0,37374;0,60943
0,3771;0,62963
0,36027;0,63973
0,3367;0,63636
0,3367;0,61953
0,33333;0,60606
0,3468;0,59933
0,3569;0,59933
0,38384;0,59933
0,38721;0,62626
0,38721;0,63973
0,3468;0,63636
0,3367;0,6229
0,34007;0,60269
0,34343;0,59933
0,36364;0,61953
0,367;0,63636
0,33333;0,6229
0,35017;0,633
0,3569;0,60606
0,37037;0,61279
0,34343;0,61279
0,33333;0,6229
0,33333;0,633
0,3367;0,63636
0,38384;0,63636
0,37037;0,61953
0,32997;0,61953
0,3266;0,62963
0,32997;0,61279
0,36027;0,61279
0,367;0,60943
0,36364;0,63973
0,35017;0,6431
0,32997;0,6431
0,35354;0,6229
0,38047;0,62963
0,38047;0,60943
0,3468;0,59933
0,3367;0,59933
0,3569;0,61953
0,3367;0,61953
0,35017;0,62626
0,37037;0,62626
0,367;0,6431
0,35017;0,6431
0,35017;0,61953
0,37374;0,61616
0,35354;0,63973
0,34007;0,6431
0,34007;0,62963
0,3367;0,57912
0,32997;0,55556
0,34343;0,54545
0,367;0,54209
0,39731;0,56229
0,38047;0,57912
0,35354;0,58586
0,32997;0,57912
0,32997;0,55892
0,32323;0,57239
0,33333;0,57239
0,3367;0,55892
0,35354;0,55892
0,3771;0,55892
0,367;0,57576
0,34343;0,57576
0,3569;0,56566
0,34343;0,54882
0,36364;0,55556
0,37374;0,55556
0,38047;0,54882
0,39057;0,56566
0,37374;0,57912
0,34343;0,57239
0,35354;0,55556
0,35354;0,54545
0,33333;0,55892
0,37037;0,55556
0,3771;0,56566
0,37374;0,57912
0,35017;0,57912
0,33333;0,57576
0,34007;0,55892
0,36027;0,53199
0,3771;0,54882
0,38384;0,55556
0,38384;0,57576
0,36027;0,55219
0,34343;0,54209
0,34007;0,55219
0,34007;0,56566
0,33333;0,56229
0,3771;0,56902
0,35017;0,53535
0,38047;0,53535
0,38384;0,55219
0,39057;0,57576
0,3569;0,57239
0,33333;0,54209
0,37037;0,57239
0,36027;0,56902
0,35017;0,57576
0,35354;0,55892
0,35017;0,54545
0,34343;0,53199
0,36027;0,54882
0,3569;0,56566
0,3468;0,56566
0,35354;0,55892
0,37037;0,57912
0,36364;0,54882
0,3569;0,53535
0,35017;0,57239
0,3569;0,58586
0,367;0,58249
0,3569;0,58249
0,3569;0,58249
0,36027;0,56902
0,36027;0,54545
0,3367;0,54209
0,40067;0,73401
0,39731;0,71717
0,40067;0,70034
0,41077;0,69697
0,44781;0,7037
0,44781;0,71717
0,43098;0,74074
0,41751;0,74074
0,41751;0,72391
0,42424;0,71717
0,43771;0,7138
0,43771;0,73064
0,38047;0,73737
0,39057;0,75421
0,40741;0,76094
0,43434;0,75758
0,41077;0,75084
0,38047;0,74074
0,38384;0,72727
0,39731;0,74747
0,42761;0,69024
0,42088;0,69697
0,44108;0,6936
0,41751;0,68687
0,45118;0,73737
0,44444;0,74411
0,41414;0,71044
0,43771;0,70707
0,40741;0,72727
0,41414;0,73737
0,39731;0,73737
0,39731;0,74411
0,41414;0,74411
0,42424;0,75421
0,41414;0,75421
0,43771;0,73401
0,43434;0,72391
0,42424;0,72391
0,40741;0,72727
0,39057;0,73737
0,39394;0,72727
0,40067;0,71717
0,41751;0,71044
0,42761;0,71044
0,41414;0,71044
0,40404;0,71044
0,40067;0,73401
0,42088;0,74411
0,43771;0,74411
0,44108;0,73064
0,42088;0,73737
0,43434;0,73737
0,41751;0,72391
0,41414;0,73401
0,42088;0,70707
0,41751;0,6936
0,41414;0,70034
0,43434;0,70034
0,44108;0,73737
0,39394;0,72727
0,39394;0,72054
0,41751;0,71717
0,39731;0,54209
0,3771;0,53199
0,3771;0,51178
0,41077;0,49832
0,44444;0,50505
0,43771;0,53535
0,42088;0,54882
0,38384;0,53535
0,38384;0,50505
0,38721;0,49158
0,41751;0,49158
0,43434;0,50842
0,42088;0,53199
0,41077;0,53199
0,39057;0,53199
0,39057;0,51515
0,42424;0,51515
0,40404;0,51515
0,41414;0,50168
0,40404;0,52189
0,42088;0,52189
0,40067;0,49832
0,40067;0,48822
0,40067;0,51178
0,41751;0,48822
0,44444;0,51852
0,43098;0,55219
0,43434;0,49495
0,43771;0,52525
0,43098;0,53872
0,44781;0,52189
0,43771;0,54882
0,38047;0,52189
0,42424;0,54209
0,40741;0,53199
0,39731;0,50505
0,43434;0,49832
0,42088;0,51178
0,42424;0,53535
0,40741;0,53872
0,38384;0,51515
0,42761;0,50842
0,42088;0,50505
0,40741;0,50505
0,45791;0,53199
0,43098;0,53199
0,40741;0,51515
0,40741;0,53199
0,39731;0,52862
0,40404;0,51515
0,42761;0,51515
0,42761;0,52525
0,41414;0,52525
0,41414;0,50505
0,40404;0,49495
0,44108;0,51515
0,41414;0,52525
