"V1";"V2"
3,51;8,23
1,15;7,98
0,36;9,5
0,75;8,45
0,73;8,27
-0,1;7,94
-0,18;6,3
3,26;6,88
-0,88;7,83
-1,9;7,67
2,69;8,71
-0,27;8,91
2,44;9,5
-1,01;8,5
-0,89;9,21
3,21;7,17
1,35;7,64
-0,03;8,47
3,28;7,86
-0,01;7,68
3,19;8,95
-0,54;8,18
0,39;7,13
2,75;9,17
0,08;7,1
-0,42;7,61
-1,24;7,36
-1,87;8,33
-1,38;8,78
-0,83;8,1
0,64;6,72
-0,15;6,55
0,36;8,75
-0,63;6,76
1,37;7,87
-1,7;8,83
2,58;8,09
0,18;7,66
-1,26;7,62
1,37;9,06
-0,09;6,72
2,72;8,73
-0,03;9,43
2,38;6,71
-0,5;9,21
-1,18;6,92
-1,68;7,51
0,17;9,49
1,28;7,82
0,31;6,54
6,23;3,1
6,77;4,38
7,09;3,27
2,45;4,39
6,59;4,56
4,22;2,94
3,66;5,42
2,96;5
5,64;4,64
3,12;5,01
5,39;5,66
3,84;5,67
3,47;2,65
6,53;3,05
4,3;3,71
3,38;4,3
5,03;2,61
5,23;5,38
7,11;3,54
2,55;3,35
6,39;2,91
5,97;4,79
3,57;3,75
2,96;3,88
5,74;5,3
3,13;5,29
6,22;3,43
4,95;3,88
5,42;2,29
3,42;3,83
4,3;4,15
2,97;3,89
2,73;4,98
4,12;3,66
6,13;3,26
4,91;2,3
2,9;5,06
2,35;3,55
7,36;4,95
5,71;2,66
6,56;4,28
3,65;5,28
6,44;2,52
3,1;2,9
3,72;3,89
3,77;3,29
6,1;2,2
3,9;3,49
4,12;4,97
3,8;3,71
0,74;-5,26
-0,22;-6,19
-1,44;-6,59
-1,81;-6,49
0,54;-5,04
-3,06;-7,39
0,14;-6,69
-1,81;-7,64
-3,01;-5,02
-3,8;-4,65
-0,96;-5,37
-1,51;-4,37
-1,28;-7,34
-4,64;-5,19
-2,34;-7,03
-4,69;-6,23
0,09;-6,91
-1,14;-6,33
-1,91;-4,32
-0,82;-4,39
-4,51;-5,64
-3,06;-4,23
0,8;-6,32
-1,87;-5,2
-1,5;-6,57
-0,79;-4,58
-0,38;-5,96
-4,15;-6,54
-3,4;-7,2
-0,32;-6,29
-2,73;-4,26
-3,34;-5,03
0,1;-4,95
-1,17;-4,98
-2,93;-5,28
-3,71;-6,66
-0,27;-7,33
-3,05;-7,13
-3,03;-7,27
-1,8;-7,12
-2,04;-4,33
-2,72;-4,49
-3,25;-5,96
-3,86;-7,34
-0,34;-6,89
0,28;-7,09
-3,83;-7,1
-2,24;-5,96
-0,44;-7,1
-3,06;-4,57
0,57;1,59
-1,1;0,14
-0,46;-1,79
2,72;-0,34
0,97;-0,3
0,45;-1,17
-1,24;-0,78
1,82;0,34
0,86;1,69
-0,76;-1,92
0,26;-0,42
1,93;-1,25
0,45;0,1
-2;0,1
2,24;0,82
-1,12;1,84
1,67;0,82
-0,64;-1,36
-1,17;1,43
0,24;-1,9
1,26;-1,43
-0,68;0,03
-2,25;-1,11
-0,6;-1,72
1,25;0,68
-0,71;-1,38
0,61;-1,83
-1,27;0,98
-1,78;-0,14
0,26;-1,05
1,49;1,3
-2,67;-0,53
1,22;-1,52
-0,76;1,62
-0,26;-0,74
-0,64;0,39
2,66;0,22
-0,62;-0,75
1,75;0,4
2,69;-0,21
0,6;-1,84
-0,19;1,94
-2,72;0,76
-2,34;0,73
-0,08;-0,06
-0,71;0,75
1,62;0,3
0,03;1,58
-1,34;0,95
-1,93;1,32
8,4;0,95
12,67;-0,43
11,25;-1,81
11,74;-0,54
11,83;0,55
10,2;-0,81
8,66;-1,11
9,32;-1,42
10,37;-0,59
9,23;0,43
11,26;-1,32
12,18;-0,46
9,15;-1,48
9,94;0,34
11,77;-0,88
11,81;0,31
13,06;0,02
12,45;-0,7
10,91;-0,86
8,85;-0,51
10,34;0,15
9,99;-0,31
11,09;1,02
13,07;1,08
10,23;-1,75
9,04;1,05
12,25;-0,38
9,91;0,62
9,13;0,24
11,69;0,28
12,58;0,69
9,23;-0,66
10,49;-0,05
12,34;-0,87
8,89;0,78
8,07;0,3
12;0,8
12,82;-1,32
10,06;-0,04
10,62;0,68
9,72;0,32
10,6;-1,34
8,38;0,14
12,29;0,89
10,05;-1,03
11,3;1,54
10,07;0,98
10,07;-1,09
13,66;-0,87
8,46;1,07
-11,64;1,37
-10,71;-0,95
-12,22;0,62
-10,64;0,57
-10,93;0,41
-11,43;0,62
-13,04;1,65
-9,74;-0,11
-10,69;-1,03
-10,95;-0,37
-11,04;1,41
-11,99;0,33
-9,75;1,04
-9,69;1,27
-10,24;0,13
-9,84;-0,18
-11,56;-1,1
-13,34;1,65
-10,35;-1,05
-11,92;1,42
-13,35;-1,19
-10,4;-0,58
-11,87;-0,02
-10,62;-1,66
-10,73;-0,57
-12,86;-0,97
-10,38;-0,43
-9,63;-1,21
-12,67;1,68
-10,83;0
-11,1;0,29
-9,78;-1,14
-9,8;1,11
-10,97;0,73
-9,59;-0,87
-12,25;1,35
-11,72;-1,82
-9,69;0,46
-10,09;-1,03
-12,67;-1,27
-9,43;-0,86
-12,62;0,78
-10,74;0,53
-10,74;-1,52
-9,07;0,08
-13,53;-0,73
-10,37;-1,61
-12,09;1,71
-11,46;0,73
-9,31;0,03
7,18;9,04
5,82;8,79
6,97;11,86
5,75;9,03
6,76;9,48
9,28;10,41
8,22;11,69
6,59;8,8
8,38;8,71
5,71;9,23
9,12;10,29
10,22;10,54
6,78;10,07
6,6;10,11
8,04;8,51
6,1;9,34
10,67;9,58
6,43;9,5
5,38;9,55
6,54;10,07
5,82;10,07
10,18;9,18
5,36;10,12
7,81;8,68
5,62;9,1
8,48;8,95
7,79;10,12
9,36;9,48
8,27;9,74
10;10,04
5,5;10,49
9,76;8,47
7,58;11,9
10,5;10,88
10,23;9,9
7,6;11,41
6,87;9,26
8,05;8,02
6,38;11,31
6,59;8,6
5,89;9,83
10,9;9,58
10,84;10,42
10,08;9,68
8,17;10,86
10,35;9,36
6,01;9,17
9,6;11,25
6,51;9,79
9,25;8,77
12,4;3,31
15,47;2,23
15,06;1,62
12,71;3,93
17,59;2,61
13,96;3,05
17,51;2,37
13,47;3,63
16,56;3,13
13,99;1,71
17,04;1,81
14,35;4,39
16,72;3,98
16,15;1,92
17,87;2,99
13,09;2,1
17,26;2,16
15,78;4,6
13;2,13
13,77;1,46
14,89;2,92
17,43;3,72
17,77;2,69
16,98;2,6
17,39;3,18
14,65;4,43
12,7;3,55
15,68;3,58
13,03;2,59
16,16;4,09
13,04;2,97
15,04;1,1
13,68;3,41
16,19;4,36
16,9;3,12
16,3;3,44
14,04;4,03
16,58;2,88
16,22;4,05
13,37;1,83
13,34;1,34
17;2,2
16,35;3,61
16,19;1,98
13,54;4,16
16,45;1,48
16,57;2,9
17,15;1,95
16,5;3,1
13,45;4,22
-17,15;-1,94
-15,84;-4,15
-15,42;-1,77
-15,88;-4,2
-16,26;-3,35
-13,71;-3,24
-15,19;-1,71
-17,64;-3,9
-15,82;-3,47
-13,85;-4,61
-13,01;-3,64
-15,98;-3,49
-17,27;-4,29
-15,09;-3,65
-16,18;-2,44
