"V1";"V2"
-0,585835;-0,401656
-1,13392;-0,910653
-0,898172;-1,07502
-0,365161;-0,379199
0,172448;-0,203041
-1,43784;-0,83774
-0,586947;-0,865428
-0,509167;-0,913249
0,0160104;-0,265462
-0,303003;-0,668266
-1,32478;-0,761519
-0,789443;-0,604025
-0,681078;-0,266194
-1,20215;-0,815888
-0,588469;-0,547638
-0,356192;-0,252426
-1,52899;-1,16619
-0,571526;-0,525328
-1,10776;-0,90191
0,0854506;-0,200078
-0,0795118;-0,244821
-1,58956;-0,82734
-0,882815;-1,03291
-0,0226562;-0,330175
-0,603857;-0,607451
-0,939056;-0,923235
-1,54462;-1,22342
-1,25772;-1,07925
-0,638864;-0,791312
-0,605087;-0,225404
-1,22772;-0,962691
-1,59126;-0,955835
-0,490727;-0,452298
-0,0195369;-0,282084
-1,17823;-0,662493
-0,226727;-0,630257
-0,363046;-0,591963
-1,64826;-1,42303
-0,938966;-0,583673
-0,647177;-1,07351
-0,751564;-0,76207
-1,60725;-1,33554
-0,936239;-0,716931
-0,297093;-0,0826591
-1,31761;-0,656078
-1,50532;-1,16879
-1,65098;-1,241
-0,321559;-0,48635
-0,4488;-0,339232
-0,518523;-0,285819
-0,643772;-0,539759
-0,711098;-0,313798
-0,0668361;-0,0328402
-0,61127;-0,905858
-0,92148;-0,885539
-1,02333;-0,968717
-1,54719;-1,15118
-1,26029;-0,959315
-0,319118;-0,466954
-0,177719;-0,155611
-0,506707;-0,384676
0,241723;-0,152738
-0,726694;-0,324555
-0,766221;-0,581867
0,222186;-0,246717
-0,564669;-0,697595
-1,19146;-1,1202
-1,38869;-0,930326
-0,211033;-0,0694245
-1,74823;-1,02762
-1,44603;-1,07043
-0,281285;-0,403171
0,167996;-0,0711532
-0,0854518;-0,141995
-0,448893;-0,40739
-1,2473;-0,784423
0,103036;-0,527119
0,10599;-0,121666
-0,862378;-0,758065
-1,83386;-1,22837
-1,00853;-0,923721
-1,11958;-1,12774
-1,0647;-1,15874
-1,13463;-0,985945
-0,570435;-1,04625
-1,46636;-0,783364
-1,64958;-1,17206
-0,516398;-0,468889
-1,36599;-1,33378
-1,30711;-0,645879
-0,237667;-0,423474
-1,50285;-0,987157
-0,97778;-0,588835
0,0671051;-0,299607
-1,65967;-1,24569
-0,366234;-0,466544
-0,571356;-0,347466
-0,429063;-0,453724
-0,98477;-1,10406
-0,8123;-0,708308
-0,79821;-1,00958
-0,579938;-0,761309
-0,537748;-0,56848
-0,30264;-0,342319
-0,842391;-0,732896
-1,23492;-0,906338
-1,79088;-1,14082
-1,26478;-1,1849
-0,843117;-0,754856
-0,948825;-1,08643
-1,50044;-1,04681
-0,933405;-1,11914
-0,273563;-0,439946
-0,369036;-0,416664
-1,36042;-1,16305
-1,76158;-1,35602
-0,197375;-0,592986
-0,607059;-0,505345
-0,562626;-0,683408
0,144665;-0,211468
0,220343;-0,34969
-0,581623;-0,963184
-0,133789;-0,464616
-1,21212;-0,824299
-1,28217;-1,11003
-0,192406;-0,291159
-1,63248;-1,04487
-0,133453;-0,599766
0,0692506;-0,319421
-1,4999;-0,907588
