"V1";"V2"
-0,796472;-0,538789
1,07415;0,283016
-0,0882453;-0,0154108
0,238279;-0,0570198
0,708839;0,165585
0,163807;-0,0402066
-0,200248;0,692106
0,0641332;-0,47997
-0,388032;-0,415745
-0,751184;0,672181
-0,607715;-0,814858
0,26011;0,335198
-0,546444;0,251202
0,101309;0,424941
0,436923;0,784839
-0,0189449;0,603242
-0,476297;0,00590647
0,199583;-0,177538
-0,981166;0,472785
0,129555;0,156186
0,824547;-0,69325
0,223874;-0,0875816
-0,601323;-0,569979
0,762652;0,387553
0,120625;0,537594
3,01053;-0,212716
3,79178;-0,0714351
3,97677;0,0425788
4,21977;-0,737742
4,7352;-0,275757
4,29667;-0,0791719
3,9759;-0,0661088
4,04327;-0,0410543
4,01564;0,0331227
4,27207;0,113586
4,6347;-0,377884
3,72788;-0,705706
4,55564;-0,0716247
3,92393;-1,42917
3,11443;-0,239851
4,30702;-0,107685
4,29674;0,60503
4,03765;0,00249412
5,15323;0,276954
4,29675;0,152049
4,00786;-0,0671036
3,69175;-0,550353
2,87988;0,363631
3,74257;1,18664
3,97348;0,506361
8,32419;-1,17856
7,73708;1,44513
7,1999;0,28729
8,07462;0,337588
7,54879;-0,310762
7,56662;-0,704622
9,24661;-0,121555
8,81637;0,276002
8,64203;0,415519
7,44744;-0,46857
7,41791;0,548326
8,29063;-0,846479
7,9532;-0,955921
7,6995;0,31141
7,61241;0,37876
7,76966;-0,232545
8,11709;0,103819
7,90047;-0,517087
7,65481;-0,248699
8,65947;-0,370796
7,81227;0,269439
8,38809;-0,17127
7,56891;0,538494
7,61015;0,278909
7,84017;-0,790742
12,2809;0,303709
11,1523;-0,336136
11,3569;-0,497622
12,4477;-0,291661
11,7262;0,552916
12,3093;-0,279156
11,9166;0,447148
12;0,00645392
13,0704;0,591449
11,6717;0,569751
11,4784;0,698509
12,8676;-0,979057
12,503;-0,280088
11,4247;0,0910561
13,0199;-0,0895692
12,9604;0,265662
12,1187;-0,110861
13,0311;-0,226739
11,2842;0,562014
12,2879;0,234708
11,9574;-0,36161
12,3445;-0,725916
12,8942;0,145759
11,6446;-0,416159
11,6631;-1,54415
15,6993;-0,416461
15,9364;0,338083
16,6751;-0,141313
16,273;0,777651
15,7235;0,742506
15,8778;-0,186271
15,5987;-0,302537
16,8896;1,03886
15,4213;-0,609232
16,9586;0,130016
15,7548;0,202269
16,5594;0,52837
16,5707;-0,31159
14,5954;-0,512358
15,8228;0,130091
16,5049;-0,0937206
16,0924;-0,392365
15,6908;0,233581
16,0681;0,133851
16,525;0,902382
15,965;0,91102
16,6208;0,790518
16,271;-0,479934
15,7912;-0,0525799
15,7649;0,199848
-0,400469;4,53691
-0,0968634;4,50867
-0,187944;4,02405
-0,873714;3,76999
0,935654;5,37757
-0,346292;3,73288
1,11593;4,0069
0,728485;4,66706
0,175503;5,11378
0,552438;3,62921
-0,0639243;4,12319
0,00233343;4,02054
0,487888;3,76658
0,237496;3,4453
-0,586712;4,41836
0,25498;4,32225
0,753669;3,8778
-0,255619;3,6784
-0,0664025;3,56703
0,50721;4,28617
0,175297;3,96575
1,10055;3,66583
0,69815;4,33183
0,103895;3,73596
0,882744;4,82995
3,60791;4,35873
4,02089;3,89618
4,4513;4,28694
4,19773;4,09148
4,10998;3,95141
4,18485;3,69915
4,75913;4,60196
3,92758;4,06112
3,82976;4,37559
3,62118;3,56982
3,01888;3,89984
3,74945;4,49419
3,41476;4,53944
4,00047;4,8749
4,48065;4,44873
3,93146;3,67659
3,75353;3,79958
4,16299;4,31182
3,99231;3,93775
4,15217;3,4812
4,3181;3,75948
4,67728;4,65658
3,79562;3,55473
3,88985;3,79529
3,93726;4,27393
8,29873;3,38475
8,22472;3,16729
7,72151;3,84654
7,35678;4,08594
8,80231;4,07732
7,95642;4,54662
7,41659;3,64959
7,71529;3,93861
7,79562;3,76861
7,56522;3,882
7,69313;3,5759
6,66802;4,34386
7,99377;4,19416
8,219;4,25412
7,0989;4,72362
8,50083;4,93503
9,34245;4,51824
7,88111;3,89439
7,86579;3,83493
8,60149;3,59284
7,99102;3,7765
7,87104;4,22742
8,2503;4,39172
7,02483;4,00498
8,34851;4,62209
12,0397;3,56849
12,5822;4,03329
12,5281;3,82999
12,5537;4,04238
12,4262;4,38597
12,579;3,99377
11,9759;4,12265
13,2895;4,50097
12,3915;4,28201
11,9145;3,38511
12,3275;4,50976
12,2082;4,31848
11,9116;3,76931
12,2697;4,04646
12,6677;4,44352
12,112;3,17371
12,3845;3,37243
11,8085;4,68242
11,9154;3,66935
12,6266;4,77965
11,7132;4,10217
12,3003;4,86216
11,6807;4,44927
11,2805;4,15022
11,4623;3,63941
15,8416;3,52499
15,5225;2,84921
16,7106;4,67125
15,8422;3,16156
15,5107;3,45824
16,0057;4,56791
16,594;4,48895
16,3173;4,23208
16,1673;3,45855
16,3178;3,36127
17,0975;3,20025
15,9159;3,75032
15,334;3,40451
15,7469;3,87649
17,1669;3,95842
16,311;3,27976
15,8008;4,54787
16,1231;3,68588
16,3409;4,08619
16,5888;4,41906
15,6103;4,48753
16,6368;3,85915
16,3442;3,76203
15,3046;4,00494
