"V1";"V2"
15,464;19,4409
17,7983;14,8367
15,0522;17,2602
15,3265;18,1245
17,7211;15,0053
16,7703;16,5096
14,5202;15,2777
13,0365;16,5854
12,9726;17,9263
15,8985;17,3809
17,4951;17,3044
15,429;14,2952
17,3656;14,5727
15,3067;17,2094
16,0827;15,4634
17,0917;17,56
16,9116;14,989
17,4422;16,4065
16,0756;14,5156
15,9407;14,9483
16,3072;14,9
15,6273;14,0664
16,2231;18,0958
18,582;18,2984
14,6839;12,5133
18,0406;14,282
16,9226;15,4166
16,1448;14,0772
15,5834;17,4993
15,3563;15,9997
15,502;15,2259
17,5806;14,6431
19,5359;17,3495
17,1991;15,8414
18,0528;16,1468
15,7983;16,6047
15,512;17,1197
17,0188;18,0452
15,0616;13,7979
19,2077;14,2998
15,2413;14,1172
13,48;15,2144
17,5143;15,5952
19,3998;16,5515
14,3853;17,2844
12,5038;15,8406
14,5953;14,5792
16,4044;16,5052
14,9307;13,9586
16,777;14,848
14,9371;14,3088
14,8611;14,7618
18,4363;16,9572
13,6519;17,5881
13,0717;20,5201
14,8945;15,9053
15,8362;15,5648
15,2934;16,1949
15,8895;14,6806
16,476;15,1737
14,2752;15,1935
18,4192;16,271
17,4179;16,3666
14,3428;15,3748
15,7446;15,1492
17,5479;13,6618
16,3384;18,499
16,5278;16,4721
15,7585;14,776
17,4294;15,5536
14,9692;17,9135
14,9882;16,445
18,7688;17,8611
11,8488;16,2259
14,9125;17,3603
14,5812;14,6913
17,2207;15,2994
14,4517;15,2015
17,5746;11,7335
15,1593;16,7917
15,8593;15,7597
14,8812;13,6643
17,5061;15,6569
16,4077;15,9492
14,3321;16,4796
17,3265;14,7527
16,2282;14,7003
16,9978;15,0612
18,5195;18,0621
15,6272;15,1682
13,6691;14,7616
17,2089;15,851
17,9445;13,4884
16,6038;15,7889
15,5254;15,9746
18,127;16,6261
17,7556;16,1532
18,0631;13,9859
15,2447;13,4001
16,8611;14,1324
16,6306;17,1213
16,2315;16,2718
15,3492;17,1801
16,5457;17,3388
15,4792;14,1565
15,9852;16,2795
14,9367;16,9359
14,9714;15,7472
15,0812;14,504
16,0673;16,6687
14,5134;16,4144
15,6038;18,5234
16,5157;15,1785
16,1788;15,6728
18,3742;16,2976
19,1106;17,5936
15,8487;13,0658
14,5193;16,6634
17,521;19,4902
17,7429;18,1655
17,6849;16,367
17,0571;14,0977
13,2984;18,2434
16,0727;15,9948
17,6686;17,5843
18,1393;18,4202
13,1623;14,8153
17,4634;16,6513
17,4023;16,8694
14,2923;15,3198
17,5792;14,6935
14,9105;11,5546
14,8898;15,7512
16,394;16,6561
18,9102;14,4874
17,9887;15,1311
16,8118;12,1841
15,0836;15,3659
16,5774;17,569
17,9506;15,1076
14,517;17,4431
15,9166;16,4265
16,6646;16,0965
15,8347;15,9536
15,61;17,9846
16,063;15,0598
16,7968;16,4879
16,5396;14,5664
12,9813;16,077
17,0785;11,6825
15,699;7,32908
14,1085;6,94373
18,4709;8,60249
16,9888;8,29333
19,4182;7,62731
14,6617;5,08308
17,9592;10,0375
16,0899;10,4643
14,7572;5,59175
13,6694;6,54048
13,8108;6,6018
15,8599;5,92665
15,6776;8,29735
13,9861;10,271
18,0023;6,07867
18,8984;9,10032
15,8383;8,23948
16,1484;6,66557
15,9478;9,24739
16,9019;7,06773
17,2531;6,23929
19,5515;8,93252
19,0103;9,5994
15,9829;8,38472
17,2588;8,93734
16,5692;8,65011
14,0129;7,56813
16,8909;8,33322
14,8916;8,64276
15,4347;4,60389
14,2902;8,12746
17,7572;5,78679
17,4824;7,33767
15,9216;9,92918
16,7039;6,25332
16,5762;10,7403
14,8297;9,86756
17,5867;7,25238
14,8511;7,37453
15,5677;9,96748
17,4781;10,4769
16,1063;6,62133
16,2928;8,9168
18,338;6,74959
17,4109;9,79361
20,1779;7,4522
16,8988;5,96699
16,5832;8,704
14,9648;5,78802
18,7261;6,80646
15,8844;7,2688
16,803;9,7472
14,2722;8,28467
