"V1";"V2";"NA"
-0,13;1,39;0,33
1,21;-0,18;0,65
1,14;-0,17;0,13
-0,51;1,29;1,15
1,08;0,33;1,35
0,95;-0,14;1,4
0,87;0,12;-1,05
0,73;0,49;-0,08
-0,12;-0,64;-1,11
0,4;-1,66;-1,02
-0,52;1,85;0,55
0,26;-1,26;1,16
-0,25;0,5;1,4
0,79;0,72;-0,09
0,08;1,81;-0,26
0,8;0,99;-0,84
0,23;-0,19;-0,22
0,38;0,82;-0,26
-1,43;0,4;-1,04
0,45;0,28;1,55
0,36;1,33;0,01
-1,59;0,75;0,64
0,98;-0,25;-0,58
0,22;-1,37;0,25
-0,84;0,67;-1,17
-0,17;0,76;-0,54
0,83;-0,95;-1,27
-0,28;-1,69;-0,87
-0,44;-0,12;0,92
1,02;0,12;0,58
1,44;-1,08;-0,64
0,71;1,32;-1
0,37;-0,47;1,09
-1,57;-0,31;0,91
-1,5;0,89;0,48
-0,35;-1,04;-0,54
0,93;0,05;0,23
1,18;-0,29;-1,48
-0,38;0,22;-1,52
-0,82;-1,19;-1,16
-0,83;-1,36;-0,47
0,24;-0,53;-1,37
0,81;1,26;0,89
-0,74;0,6;1,75
-1,27;-0,39;0,42
1,55;0,91;0,81
0,59;1,83;-0,43
-1,05;-0,43;-0,89
-1,04;1,18;-1,14
1,37;-0,13;0,1
-0,23;-0,83;1,77
0,37;-0,98;0,05
-0,05;-0,16;1,44
0,62;-1,2;-0,13
-0,25;-0,61;-1,39
0,24;-0,72;-1,56
-1,58;-0,37;0,14
-0,2;1,72;0,43
0,7;-0,28;1,3
-0,93;0,11;1,27
1,1;1,08;-0,97
0,71;0,3;-0,22
1,21;0,62;0,46
0,47;-0,09;-1,69
-1,21;-0,45;-0,38
-1,07;0,76;0,61
1,29;-0,07;-1,11
0,87;-1,74;0,31
0,92;-1,3;-1,21
0,51;-0,75;-0,91
-0,19;-0,48;1,4
0,51;-0,21;1,01
0,84;-0,84;0,5
1,8;-0,4;0,16
-0,7;0,82;-1,57
-1,26;-0,92;-0,34
0,88;1,64;-0,67
-0,32;-0,41;1,72
-0,73;1,26;0,46
-1,24;-0,38;-0,18
1,92;0,55;-0,01
-1,65;-0,47;-0,24
1,15;0,63;0,71
0,51;0,04;-1,34
0,76;0,48;-1,29
-1,75;-0,43;0,57
1,1;0,14;-0,83
0,4;0,19;1,62
-1,11;-0,12;-0,01
-0,02;0,48;-0,48
-0,28;-0,27;0,42
0,83;-0,44;-0,31
-1,22;1;-0,55
