"V1";"V2"
11,11;10,14
8,68;9,76
10,04;10,63
8,79;10,13
10,53;8,95
10,58;9,72
11,19;11,6
8,14;10,21
9,62;10,83
11,31;9,7
9,95;8,16
9,84;10,93
10,05;10,35
9,41;11,39
10,91;11,33
10,13;11,76
8,51;11,3
10,2;10,89
9,94;10,1
8,25;9,49
8,93;10,87
8,16;10,69
10,74;8,36
11,79;9,77
9,33;10,64
10,86;11,3
9,04;11,66
8,19;9,17
9,06;10,1
11,49;10,43
9,03;10,04
10,84;10,82
11,09;10,28
11,11;10,39
9,77;8,33
8,24;10,66
9,88;9,48
8,87;10,72
11,42;9,34
9,2;8,49
9,46;9,88
10,86;11,78
9,88;10,23
10,37;9,72
9,26;8,63
11,42;9,06
8,96;10,78
10,38;8,92
8,78;9,96
11,19;10,71
11,81;6,15
10,4;6,66
9,15;5,55
11,43;7,07
8,61;6,62
10,6;7,27
9,49;5,97
10,99;5,51
8,45;6,57
10,69;7,42
10,14;4,86
11,52;7,39
10,04;6,87
11,7;5,99
10,26;6,71
10,06;5,87
10,62;4,81
11,25;7,51
8,17;5,62
8,83;7,48
10,15;6,99
8,76;7
10,27;7,4
10,91;5,35
9,87;5,55
11,48;5
10,05;7,96
10,73;6,3
11,89;5,97
9,03;6,44
10,27;7,35
8,86;4,74
9,23;5,94
11,24;6,37
10,22;5,51
8,68;7,15
8,48;5,08
9,97;4,86
8,79;6,09
10,8;7,26
9,87;5,59
9,62;5,06
8,63;7,52
9,24;7,04
8,88;7,35
10,91;7,76
9,87;7,84
9,16;6,18
9,25;4,29
11,37;5,5
13,74;11,7
14,63;11,17
15,44;10,46
13,28;11,27
13,15;10,56
13,16;10,65
13,23;8,76
14,46;8,7
13,21;10,44
13,45;10,2
12,34;10,33
14,32;9,79
15,39;9,18
13,44;9,48
15,09;10,79
12,85;9,3
14,13;8,91
13,19;9,97
13,8;8,84
14,08;10,93
14,53;11,83
13,61;10,37
15,69;9,18
13,95;9,73
13,99;9,22
15,71;9,4
13,77;10,07
14,85;9,43
12,09;10,71
15,88;10,25
13,28;11,25
13,1;11,83
15,65;10,86
12,94;11,38
13,59;10,51
14,52;10,94
13,88;10,65
14,88;10,75
15,73;9,8
12,27;9,45
13,37;10,67
13,51;10,42
13,74;11,9
14,68;10,91
12,56;9,02
13,09;8,48
15,18;9,13
15,31;9,71
13,01;8,33
14,64;8,21
11,12;13,31
11,43;13,45
11,2;15,49
10,93;13,91
11,19;13,24
10,67;14,77
9,94;12,17
9,46;12,35
9,31;15,25
10,31;15,26
10,58;15,4
11,53;12,71
10,88;13,61
9,08;12,46
9,64;12,05
10,42;15,57
11,09;15,2
9,56;13,41
10,94;15,5
9,9;15,62
10,09;15,15
9,39;15,76
10,2;12,66
10,44;13,58
9,08;13,97
9,56;12,32
11,58;14,9
9,17;15,25
11,69;14,05
9,24;13,7
11,67;14,36
10,58;14,32
10,56;14,87
9,47;15,62
8,32;13,62
10,03;15,79
9,41;13,6
11,67;13,58
9,29;12,55
9,93;12,91
10,88;12,93
9,73;14,31
9,92;12,07
8,84;13,29
11,48;14,49
10,65;13,06
11,53;14,4
11,23;12,72
8,89;12,49
9,16;14,12
7,21;9,66
4,79;10,99
5,38;8,74
7,96;9,76
7,1;11,72
5,49;11,63
6,82;11,73
7,26;9,27
5,69;8,95
4,47;9,53
5,06;8,59
5,52;11,29
4,69;9,5
6,02;9,05
4,36;10,93
6,96;9,41
6,61;9,98
7,27;9,04
6,17;11,69
6,14;8,38
6,61;9,06
4,98;8,77
5,03;9,42
4,65;9,12
5,08;9,74
4,95;8,49
7,48;10,64
6,54;10,76
5,6;9,53
6,78;8,98
5,11;8,75
4,6;9,7
4,82;9,54
4,8;10,34
5,54;9,4
5,26;10,29
5,48;10,88
6,92;10,55
6,55;10,25
5,41;10,15
4,45;10,14
5;8,43
6,62;8,4
7,7;11,15
5,45;9,99
7,01;9,11
6,95;10,75
6,7;9,87
5,71;8,26
5,79;10,67
