"V1";"V2"
8,28531;13,5879
11,3977;7,4489
7,73624;10,6803
8,10197;11,8327
11,2948;7,67373
10,027;9,67945
7,02699;8,03695
5,04861;9,78055
4,96348;11,5684
8,86468;10,8412
10,9935;10,7392
8,23873;6,7269
10,8208;7,09689
8,07566;10,6126
9,11022;8,28457
10,4556;11,08
10,2155;7,65196
10,9229;9,54198
9,10084;7,02085
8,9209;7,59777
9,40957;7,53336
8,50307;6,42181
9,29751;11,7944
12,4427;12,0645
7,24522;4,35108
11,7208;6,70933
10,2301;8,22207
9,193;6,43631
8,44458;10,999
8,14173;8,99963
8,33594;7,96782
11,1075;7,19083
13,7146;10,7994
10,5988;8,78853
11,7371;9,19569
8,73108;9,80624
8,3493;10,4929
10,3584;11,7269
7,74875;6,06392
13,277;6,7331
7,98839;6,48958
5,63999;7,95249
11,019;8,46032
13,533;9,73529
6,84702;10,7126
4,33838;8,78748
7,12712;7,10559
9,53917;9,67358
7,57425;6,27815
10,036;7,46403
7,58285;6,74504
7,48151;7,34905
12,2484;10,2762
5,8692;11,1175
5,09561;15,0267
7,52603;8,87376
8,7816;8,41973
8,05791;9,25993
8,85262;7,24078
9,63471;7,8983
6,70024;7,92462
12,2256;9,36132
10,8905;9,48874
6,79037;8,16634
8,6595;7,86563
11,0638;5,88238
9,45122;12,332
9,70368;9,62953
8,67796;7,36794
10,9059;8,40477
7,62556;11,5514
7,65089;9,59332
12,6918;11,4815
3,46508;9,30123
7,54994;10,8137
7,10825;7,25509
10,6276;8,0659
6,93566;7,93538
11,0995;3,31138
7,87907;10,0555
8,81235;8,67958
7,50823;5,88579
11,0082;8,5426
9,5436;8,93228
6,7761;9,63942
10,7687;7,33691
9,30426;7,26709
10,3303;7,74822
12,3593;11,7495
8,5029;7,89098
5,89216;7,34875
10,6119;8,80137
11,5926;5,65122
9,80505;8,71849
8,36716;8,96609
11,836;9,83486
11,3408;9,20427
11,7508;6,3146
7,99295;5,53347
10,1482;6,50987
9,84085;10,4951
9,30862;9,36246
8,1322;10,5735
9,72761;10,785
8,30566;6,542
8,98021;9,3726
7,5823;10,2478
7,62857;8,66298
7,77491;7,00527
9,0897;9,89156
7,01785;9,55247
8,47169;12,3645
9,68765;7,90464
9,23833;8,56372
12,1656;9,39682
13,1475;11,1248
8,79824;5,08769
7,02572;9,8846
11,028;13,6536
11,3239;11,8874
11,2465;9,48935
10,4095;6,46356
5,3978;11,9913
9,09691;8,99308
11,2247;11,1124
11,8525;12,2269
5,21638;7,42039
10,9512;9,86836
10,8697;10,1593
6,72302;8,09301
11,1057;7,25801
7,5473;3,07281
7,51972;8,66828
9,52537;9,8748
12,8802;6,98323
11,6516;7,84141
10,0824;3,91214
7,77808;8,15448
9,7698;11,0919
11,6008;7,8102
7,02262;10,9241
8,88875;9,56865
9,88609;9,12866
8,77966;8,93818
