"V1";"V2"
-1,357818;-2,071201
-0,011177;1,705894
0,984379;0,236823
-3,032441;1,158165
-0,65397;2,226539
-0,197106;2,102319
0,662488;1,460443
0,555874;1,461527
-2,414818;1,72212
-2,225339;-1,938249
2,040196;1,818911
2,052167;0,863156
-2,714617;-2,528982
-1,690757;-2,763342
-0,067806;0,761232
2,281874;1,472221
-1,534681;1,003197
-2,432296;-2,455307
-1,882905;0,783619
-0,731151;1,971621
3,089637;-0,982379
2,015626;1,972188
-1,26017;-0,87911
2,553107;1,682078
2,874399;0,887695
1,91771;2,139633
-2,228993;-0,323981
2,030653;1,62334
2,24188;2,492965
1,544266;-0,04973
0,031953;-1,131856
1,600776;-1,207922
-2,213644;2,678879
-1,953524;-0,540983
-2,310441;-1,740028
-2,450011;-2,749208
0,547534;2,003953
2,119233;1,736949
1,608189;-1,687368
2,431226;-1,647599
-2,472206;2,896035
-2,76633;1,271111
1,862631;2,90364
-1,830787;-0,956537
-2,54774;-2,758177
-2,412839;1,896345
1,58809;-1,78702
0,699396;0,854389
-2,147214;-1,876566
-1,422819;0,366605
1,235696;-0,337979
-0,60349;2,662569
-2,068476;-2,073554
1,856359;2,206405
1,721161;0,915932
2,268337;2,119233
0,015024;2,209096
-0,293286;3,079113
-2,796668;1,606939
-2,179661;-0,160263
1,99258;-1,712844
1,531772;-1,84281
-2,407333;1,926278
1,765358;2,210373
2,377331;2,654129
2,081909;1,901207
-2,578824;-2,184458
2,330289;-0,321658
-0,798469;-1,324846
1,649773;0,605566
2,740383;2,31373
2,826119;-3,031671
2,232127;0,508126
-1,772403;-0,037906
0,422896;0,735702
-2,08047;-0,936886
1,58524;-2,920118
0,196311;-1,452191
-2,148916;-1,755827
0,232224;-0,158228
0,537458;-2,937201
-0,468848;-0,317975
2,048164;-2,755992
-0,968905;2,500413
-1,807281;0,192393
1,476616;2,504746
2,614687;-2,057552
-0,18178;-1,132572
1,788158;-1,530593
1,885692;0,180628
-1,905536;-1,678553
-1,616724;-2,507085
-0,339427;1,835793
-0,362855;-1,772884
-2,153675;0,328536
0,007859;-0,948759
-0,356383;0,803076
-1,94932;2,086108
2,388919;1,389215
1,641647;-1,748375
-0,583847;-2,093609
0,659985;1,954799
-1,820247;-2,322608
-0,077935;0,172182
0,47414;2,181734
0,171313;1,035007
0,565853;0,135109
0,151562;2,761806
-0,071831;0,865405
-2,659099;-2,788335
-2,19095;-0,544252
-0,564519;0,221028
2,035783;-0,065882
2,277224;-2,259873
-2,083773;2,867428
-2,18951;1,882033
0,096262;1,018594
-3,090128;-0,018239
0,824706;0,979255
-0,257792;-2,281115
-0,16067;1,464974
-2,355891;-2,167071
2,654129;0,371813
0,532402;-2,420488
1,389739;1,151589
-1,637695;-2,720729
-1,958493;2,689939
2,303274;-0,742137
-1,921685;-1,136607
-0,328164;1,094403
-1,119252;-1,61695
-1,793501;0,020898
0,477018;-0,193278
-2,385077;-1,322945
1,842042;-2,172273
1,019886;-1,409278
-0,353545;-2,428322
-0,177223;1,319707
2,020575;-1,625014
-1,434849;2,906251
0,817384;-0,317922
-0,449587;-2,149274
-1,508695;-2,506759
-0,618234;-1,84028
1,84583;-0,887945
-1,949031;1,698587
-1,171933;0,420136
-2,564659;-2,897058
-0,402263;0,199634
1,856538;0,199353
1,31528;-0,977864
-1,912617;-0,221363
0,793085;-1,782979
-2,555944;-2,878295
0,409474;-1,680553
2,589051;-0,287768
1,526983;2,031262
1,790762;-1,278023
-2,093694;0,758939
-2,019689;-1,947792
-1,590874;-2,040155
-0,078906;-2,283446
-0,276317;1,703893
2,433723;-0,333326
-0,119059;-2,007181
0,055395;-0,251084
-2,173554;0,457875
-3,031095;0,34887
-2,504163;0,024936
1,416369;-1,094098
-2,097248;-0,123434
0,828738;2,003357
-1,571382;-0,576967
0,469842;-2,029069
-1,868516;2,144176
0,853811;2,583847
2,434438;-0,57277
-1,465715;0,177729
1,464231;2,55629
