"V1";"V2"
10,2853;15,5879
13,3977;9,4489
9,73624;12,6803
10,102;13,8327
13,2948;9,67373
12,027;11,6794
9,02699;10,037
7,04861;11,7805
6,96348;13,5684
10,8647;12,8412
12,9935;12,7392
10,2387;8,7269
12,8208;9,09689
10,0757;12,6126
11,1102;10,2846
12,4556;13,08
12,2155;9,65196
12,9229;11,542
11,1008;9,02085
10,9209;9,59777
11,4096;9,53336
10,5031;8,42181
11,2975;13,7944
14,4427;14,0645
9,24522;6,35108
13,7208;8,70933
12,2301;10,2221
11,193;8,43631
10,4446;12,999
10,1417;10,9996
10,3359;9,96782
13,1075;9,19083
15,7146;12,7994
12,5988;10,7885
13,7371;11,1957
10,7311;11,8062
10,3493;12,4929
12,3584;13,7269
9,74875;8,06392
15,277;8,7331
9,98839;8,48958
7,63999;9,95249
13,019;10,4603
15,533;11,7353
8,84702;12,7126
6,33838;10,7875
9,12712;9,10559
11,5392;11,6736
9,57425;8,27815
12,036;9,46403
9,58285;8,74504
9,48151;9,34905
14,2484;12,2762
7,8692;13,1175
7,09561;17,0267
9,52603;10,8738
10,7816;10,4197
10,0579;11,2599
10,8526;9,24078
11,6347;9,8983
8,70024;9,92462
14,2256;11,3613
12,8905;11,4887
8,79037;10,1663
10,6595;9,86563
13,0638;7,88238
11,4512;14,332
11,7037;11,6295
10,678;9,36794
12,9059;10,4048
9,62556;13,5514
9,65089;11,5933
14,6918;13,4815
5,46508;11,3012
9,54994;12,8137
9,10825;9,25509
12,6276;10,0659
8,93566;9,93538
13,0995;5,31138
9,87907;12,0555
10,8123;10,6796
9,50823;7,88579
13,0082;10,5426
11,5436;10,9323
8,7761;11,6394
12,7687;9,33691
11,3043;9,26709
12,3303;9,74822
14,3593;13,7495
10,5029;9,89098
7,89216;9,34875
12,6119;10,8014
13,5926;7,65122
11,8051;10,7185
10,3672;10,9661
13,836;11,8349
13,3408;11,2043
13,7508;8,3146
9,99295;7,53347
12,1482;8,50987
-8,15915;12,4951
-8,69138;11,3625
-9,8678;12,5735
-8,27239;12,785
-9,69434;8,542
-9,01979;11,3726
-10,4177;12,2478
-10,3714;10,663
-10,2251;9,00527
-8,9103;11,8916
-10,9822;11,5525
-9,52831;14,3645
-8,31235;9,90464
-8,76167;10,5637
-5,83441;11,3968
-4,85251;13,1248
-9,20176;7,08769
-10,9743;11,8846
-6,97203;15,6536
-6,67609;13,8874
-6,75349;11,4894
-7,59054;8,46356
-12,6022;13,9913
-8,90309;10,9931
-6,77526;13,1124
-6,14754;14,2269
-12,7836;9,42039
-7,04884;11,8684
-7,13025;12,1593
-11,277;10,093
-6,89434;9,25801
-10,4527;5,07281
-10,4803;10,6683
-8,47463;11,8748
-5,11975;8,98323
-6,34842;9,84141
-7,91765;5,91214
-10,2219;10,1545
-8,2302;13,0919
-6,39922;9,8102
-10,9774;12,9241
-9,11125;11,5687
-8,11391;11,1287
-9,22034;10,9382
-9,51997;13,6462
-8,91597;9,74642
-7,93755;11,6505
-8,28051;9,08855
-13,0249;11,1027
-7,56196;5,24336
-9,40132;10,1054
-11,522;9,59164
-5,70545;11,8033
-7,68155;11,3911
-4,44242;10,5031
-10,7844;7,11077
-6,38779;13,7167
-8,88019;14,2858
-10,6571;7,78901
-12,1074;9,05398
-11,919;9,13574
-9,18682;8,23553
-9,4299;11,3965
-11,6852;14,028
-6,33026;8,43822
-5,13549;12,4671
-9,21555;11,3193
-8,80208;9,22076
-9,06956;12,6632
-7,79741;9,75698
-7,32922;8,65239
-4,26465;12,2434
-4,98622;13,1325
-9,02284;11,513
-7,32163;12,2498
-8,24109;11,8668
-11,6494;10,4242
-7,81216;11,4443
-10,4779;11,857
-9,75377;6,47186
-11,2797;11,1699
-6,65706;8,04905
-7,02349;10,1169
-9,10456;13,5722
-8,06141;8,67109
-8,23171;14,6537
