"V1";"V2"
0,0673908;0,648651
0,184058;0,285643
0,216653;-0,626459
-0,230196;-0,277555
-0,343994;0,952639
0,516222;0,527655
-0,340626;0,372044
-0,891206;-0,0338618
0,0231218;0,0798055
-0,0480045;-0,112795
-0,549665;-0,185131
0,610166;0,0548585
0,240708;-0,00879581
-0,0952792;0,612275
0,629652;-0,400976
0,535674;0,531926
-0,0295303;-0,307669
-0,725821;0,361157
-0,284648;0,409727
0,357847;-0,115821
0,153626;-0,909621
0,286176;0,13731
-0,897728;0,152465
-0,895161;0,137934
-0,591967;0,218019
-0,445756;0,398878
0,242248;0,337062
-0,420387;-0,315739
0,0443506;-0,628764
-0,124006;0,499045
0,112187;-0,358485
-0,0236469;0,134742
0,174311;0,170205
0,025102;-0,162716
-0,293906;-0,0332021
-0,50098;0,0855036
-0,0341769;0,374567
-0,812607;-0,124809
-0,39211;-0,06304
-0,247678;-0,550145
1,06066;0,37034
0,241095;0,354813
0,675214;0,165773
0,346748;0,425497
-1,03046;0,814915
0,607113;-0,270217
-0,671951;0,418234
0,371304;-0,360211
-0,866275;0,336349
-0,0924798;0,385889
5,23032;0,0733765
3,98709;0,290578
4,23755;-0,279124
4,05608;0,612748
5,35788;0,27984
4,08401;-0,435649
3,79528;0,139738
2,89531;0,617328
4,35429;0,316387
4,17686;0,124034
4,38816;0,140594
4,70558;-0,328459
4,51607;-0,0782005
4,59905;0,343144
3,251;0,159402
3,01802;-0,353557
3,92826;-0,211247
3,80549;0,0196756
4,08564;0,586435
3,71035;-0,00805321
4,77432;0,16693
4,38432;0,169625
4,87446;0,0507428
4,67376;-0,144914
3,59141;0,892578
3,82578;0,932617
4,1505;0,301503
4,43412;-0,186553
3,79532;-0,112176
3,23263;0,321166
3,97525;0,472507
3,98389;0,659611
3,49448;-0,434678
4,52451;-0,180956
4,3327;-0,505153
5,07539;0,0267725
4,90042;-0,605792
3,11646;0,152985
4,96567;-0,112223
4,56492;0,837235
3,33208;0,459567
3,75286;-0,0387904
3,8966;-0,109682
4,2599;0,23564
4,3199;-0,466008
3,39795;-0,275024
3,15548;0,122624
3,78584;0,0197974
3,99271;-0,601369
4,73071;-0,191239
8,30909;-1,09333
8,15717;-0,244955
7,6083;0,161101
8,68201;0,698076
8,41225;-0,358268
8,12161;0,16769
8,35901;0,13728
8,06171;0,514286
8,65864;0,702299
7,57486;-0,00914143
7,6876;-0,32635
8,0751;0,0687498
8,29138;0,168367
7,59447;-0,614139
7,81159;0,514963
7,63687;-0,808251
7,53363;-1,06035
7,48937;-0,152447
8,07675;0,0673557
8,04362;-0,53697
7,95937;1,02369
7,76303;-0,111388
6,73637;0,0110952
7,31677;0,557347
7,29637;-0,344011
7,41118;0,175356
8,04672;0,656547
7,58396;1,37038
7,24168;-0,135876
8,08668;0,180556
8,36457;0,099364
7,66844;-0,424357
8,02776;-0,767283
7,24715;0,851412
8,35838;0,432283
7,75519;0,153029
8,099;-0,0839765
8,73561;0,629472
8,42773;-1,69667
7,45885;0,292715
7,56676;0,897958
8,62853;-0,119195
8,20596;0,777928
7,63379;-0,338959
7,17197;0,451926
7,8471;0,346593
8,87306;0,867481
