"V1";"V2"
0,15;0
0,15;0,25
0,15;0,5
0,15;0,75
0,15;1
0,15;1,25
0,15;1,5
0,15;1,75
0,15;2
0,15;2,25
0,15;2,5
0,15;2,75
0,15;3
-0,15;3
-0,15;2,75
-0,15;2,5
-0,15;2,25
-0,15;2
-0,15;1,75
-0,15;1,5
-0,15;1,25
-0,15;1
-0,15;0,75
-0,15;0,5
-0,15;0,25
-0,15;0
0,1590287;0,414803
-0,1590287;2,585197
0,1615557;0,8163109
-0,1615557;2,183689
0,1627658;1,628365
-0,1627658;1,371635
0,1638636;0,778645
-0,1638636;2,221355
0,1743435;0,5312497
-0,1743435;2,46875
0,1781862;1,774766
-0,1781862;1,225234
0,1821549;1,170735
-0,1821549;1,829265
0,1851598;0,4267521
-0,1851598;2,573248
0,1882799;1,410506
-0,1882799;1,589494
0,188569;1,376922
-0,188569;1,623078
0,1966325;1,7077
-0,1966325;1,2923
0,2075332;1,206062
-0,2075332;1,793938
0,2076227;1,103336
-0,2076227;1,896664
0,2114885;0,941725
-0,2114885;2,058275
0,2118931;2,819647
-0,2118931;0,1803527
0,212571;0,2896754
-0,212571;2,710325
0,2128912;1,398912
-0,2128912;1,601088
0,2147423;2,239866
-0,2147423;0,7601344
0,2191172;0,1423022
-0,2191172;2,857698
0,220019;0,1433141
-0,220019;2,856686
0,2225046;0,4031978
-0,2225046;2,596802
0,2242973;0,4770325
-0,2242973;2,522967
0,2300088;1,972408
-0,2300088;1,027592
0,2300904;0,1130746
-0,2300904;2,886925
0,2306559;1,760406
-0,2306559;1,239594
0,2345368;1,358276
-0,2345368;1,641724
0,2382129;0,5116846
-0,2382129;2,488315
0,2418566;0,9933721
-0,2418566;2,006628
0,2460321;2,472903
-0,2460321;0,5270968
0,2465841;1,129498
-0,2465841;1,870502
0,2491534;2,61987
-0,2491534;0,3801298
0,2494161;0,329157
-0,2494161;2,670843
0,2566993;0,709393
-0,2566993;2,290607
0,2571354;2,745335
-0,2571354;0,2546655
0,2576924;0,5191773
-0,2576924;2,480823
0,2598367;0,4058427
-0,2598367;2,594157
0,2618317;1,324411
-0,2618317;1,675589
0,2634652;1,329586
-0,2634652;1,670414
0,2648148;0,5025863
-0,2648148;2,497414
0,2660564;1,526218
-0,2660564;1,473782
0,2693419;1,218527
-0,2693419;1,781473
0,2696098;1,901248
-0,2696098;1,098752
0,2699736;2,191088
-0,2699736;0,8089122
0,271743;0,1616855
-0,271743;2,838314
0,2728466;2,388412
-0,2728466;0,6115876
0,2758365;0,5975127
-0,2758365;2,402487
0,2778668;1,449906
-0,2778668;1,550094
0,2803567;0,4630024
-0,2803567;2,536998
0,2834706;2,363583
-0,2834706;0,6364175
0,2842297;1,212199
-0,2842297;1,787801
0,2895141;0,08353711
-0,2895141;2,916463
0,293201;1,312039
-0,293201;1,687961
0,2970828;0,4075718
-0,2970828;2,592428
0,2983451;0,06802379
-0,2983451;2,931976
0,3016371;0,3751969
-0,3016371;2,624803
0,305449;1,232012
-0,305449;1,767988
0,3074712;0,635418
-0,3074712;2,364582
0,307828;1,768243
-0,307828;1,231757
0,3096033;1,735787
-0,3096033;1,264213
0,3111458;1,635374
-0,3111458;1,364626
0,3123868;0,8317943
-0,3123868;2,168206
0,314158;1,156146
-0,314158;1,843854
0,3182379;1,477028
-0,3182379;1,522972
0,3216316;1,264257
-0,3216316;1,735743
0,3218975;1,063381
-0,3218975;1,936619
0,3264251;1,701107
-0,3264251;1,298893
0,3291699;1,036581
-0,3291699;1,963419
0,3311433;0,1206059
-0,3311433;2,879394
0,3371696;0,7681692
-0,3371696;2,231831
0,3376605;1,012583
-0,3376605;1,987417
0,3379613;0,55048
-0,3379613;2,44952
0,3414081;0,4471486
-0,3414081;2,552851
0,3425257;0,3337976
-0,3425257;2,666202
0,3595862;0,03188951
-0,3595862;2,96811
0,3711733;0,04717409
-0,3711733;2,952826
0,3721513;2,007321
-0,3721513;0,9926788
0,3734065;0,971654
-0,3734065;2,028346
0,3778437;0,4830122
-0,3778437;2,516988
0,3783228;1,270008
-0,3783228;1,729992
0,3807124;0,7697274
-0,3807124;2,230273
0,3807146;1,778783
-0,3807146;1,221217
0,3812159;1,108173
-0,3812159;1,891827
0,3813645;0,8001702
-0,3813645;2,19983
0,3876999;1,151977
-0,3876999;1,848023
0,3910727;1,922518
-0,3910727;1,077482
0,3945122;0,004325141
-0,3945122;2,995675
0,3956985;1,660598
-0,3956985;1,339402
0,3992117;0,6859279
-0,3992117;2,314072
0,4;0
0,4;0,25
0,4;0,5
0,4;0,75
0,4;1
0,4;1,25
0,4;1,5
0,4;1,75
0,4;2
0,4;2,25
0,4;2,5
0,4;2,75
0,4;3
-0,4;3
-0,4;2,75
-0,4;2,5
-0,4;2,25
-0,4;2
-0,4;1,75
-0,4;1,5
-0,4;1,25
-0,4;1
-0,4;0,75
-0,4;0,5
-0,4;0,25
-0,4;0
0,4047087;0,5137827
-0,4047087;2,486217
0,4072795;1,523793
-0,4072795;1,476207
0,4099953;0,2510921
-0,4099953;2,748908
0,4155145;0,3015767
-0,4155145;2,698423
0,4171099;1,25085
-0,4171099;1,74915
0,4183467;0,5320084
-0,4183467;2,467992
0,4194076;0,6814011
-0,4194076;2,318599
0,4249932;1,336847
-0,4249932;1,663153
0,4258532;0,1029719
-0,4258532;2,897028
0,4290399;0,3307653
-0,4290399;2,669235
0,4290685;1,119711
-0,4290685;1,880289
0,4296215;0,7993691
-0,4296215;2,200631
0,4333924;0,4051421
-0,4333924;2,594858
0,4371803;0,8875962
-0,4371803;2,112404
0,4372892;2,087356
-0,4372892;0,912644
0,4382901;0,5917094
-0,4382901;2,408291
0,4385708;0,5665972
-0,4385708;2,433403
0,4419586;1,054922
-0,4419586;1,945078
0,4494009;1,190003
-0,4494009;1,809997
0,457064;1,513136
-0,457064;1,486864
0,4577915;0,3201957
-0,4577915;2,679804
0,4594225;0,04676332
-0,4594225;2,953237
0,4596049;0,9484233
-0,4596049;2,051577
0,4627218;0,1125751
-0,4627218;2,887425
0,4669432;0,3164208
-0,4669432;2,683579
0,4790962;1,60442
-0,4790962;1,39558
0,4839057;0,0857594
-0,4839057;2,914241
0,4896097;0,8924049
-0,4896097;2,107595
0,4908721;2,446109
-0,4908721;0,5538914
0,4933811;0,8898164
-0,4933811;2,110184
0,4948297;0,8723403
-0,4948297;2,12766
0,4950633;1,146554
-0,4950633;1,853446
0,4969153;0,3508454
-0,4969153;2,649155
0,5029494;1,640497
-0,5029494;1,359503
0,5106128;0,5589511
-0,5106128;2,441049
0,5141514;1,92395
-0,5141514;1,07605
0,5149534;0,5966704
-0,5149534;2,40333
0,5193522;0,5801705
-0,5193522;2,419829
0,5202484;2,327848
-0,5202484;0,6721524
0,5249945;1,193763
-0,5249945;1,806237
0,5287964;1,114298
-0,5287964;1,885702
0,5344836;0,1937084
-0,5344836;2,806292
0,5359571;1,035468
-0,5359571;1,964532
0,5379554;1,83744
-0,5379554;1,16256
0,5416033;0,9865263
-0,5416033;2,013474
0,5464589;1,559095
-0,5464589;1,440905
0,548527;0,003236402
-0,548527;2,996764
0,550545;1,212008
-0,550545;1,787992
0,5596237;0,4486648
-0,5596237;2,551335
0,5625205;0,4960253
-0,5625205;2,503975
0,5637142;0,3890775
-0,5637142;2,610922
0,5658218;0,2833255
-0,5658218;2,716674
0,5662135;0,6884019
-0,5662135;2,311598
0,5748421;1,122577
-0,5748421;1,877423
0,5774026;2,796108
-0,5774026;0,2038923
0,5814302;0,1668222
-0,5814302;2,833178
0,5862851;1,183229
-0,5862851;1,816771
0,5870797;0,5316456
-0,5870797;2,468354
0,5878876;0,9621663
-0,5878876;2,037834
0,591458;0,9215803
-0,591458;2,07842
0,5919755;0,9601928
-0,5919755;2,039807
0,5932858;0,5780433
-0,5932858;2,421957
0,5986305;0,02083979
-0,5986305;2,97916
0,5990343;2,095036
-0,5990343;0,9049645
0,6111016;0,1740106
-0,6111016;2,825989
0,6139873;0,1104884
-0,6139873;2,889512
0,6144612;1,695122
-0,6144612;1,304878
0,615414;0,7443097
-0,615414;2,25569
0,6183356;1,569917
-0,6183356;1,430083
0,6190008;1,099889
-0,6190008;1,900111
0,6281471;0,2519071
-0,6281471;2,748093
0,6311562;0,5256579
-0,6311562;2,474342
0,6369767;1,310558
-0,6369767;1,689442
0,6408698;1,672589
-0,6408698;1,327411
0,6412482;0,8766339
-0,6412482;2,123366
0,647976;0,7098659
-0,647976;2,290134
0,65;0
0,65;0,25
0,65;0,5
0,65;0,75
0,65;1
0,65;1,25
0,65;1,5
0,65;1,75
0,65;2
0,65;2,25
0,65;2,5
0,65;2,75
0,65;3
-0,65;3
-0,65;2,75
-0,65;2,5
-0,65;2,25
-0,65;2
-0,65;1,75
-0,65;1,5
-0,65;1,25
-0,65;1
-0,65;0,75
-0,65;0,5
-0,65;0,25
-0,65;0
0,6603032;2,678281
-0,6603032;0,3217192
0,672504;0,5118711
-0,672504;2,488129
0,6771164;0,3684963
-0,6771164;2,631504
0,6789737;0,4810934
-0,6789737;2,518907
0,6841191;1,557152
-0,6841191;1,442848
0,690543;0,8031463
-0,690543;2,196854
0,6950527;1,630227
-0,6950527;1,369773
0,6976963;2,627757
-0,6976963;0,3722432
0,7105622;0,2329279
-0,7105622;2,767072
0,7138833;1,457998
-0,7138833;1,542002
0,714143;0,6539141
-0,714143;2,346086
0,7149575;1,896756
-0,7149575;1,103244
0,7165424;0,02863431
-0,7165424;2,971366
0,7174534;1,624808
-0,7174534;1,375192
0,718697;2,083126
-0,718697;0,9168738
0,7323776;2,846709
-0,7323776;0,1532909
0,7347331;0,7078738
-0,7347331;2,292126
0,7482292;0,4649516
-0,7482292;2,535048
0,7536609;0,7741727
-0,7536609;2,225827
0,754256;1,69339
-0,754256;1,30661
0,756046;1,305694
-0,756046;1,694306
0,7592986;0,08903427
-0,7592986;2,910966
0,7594633;0,002688127
-0,7594633;2,997312
0,762578;0,7959312
-0,762578;2,204069
0,7666184;1,597525
-0,7666184;1,402475
0,7686802;2,656696
-0,7686802;0,3433043
0,7689056;1,773506
-0,7689056;1,226494
0,772271;1,081497
-0,772271;1,918503
0,7774723;0,3560797
-0,7774723;2,64392
0,7775486;0,4979996
-0,7775486;2,502
0,7775909;1,238407
-0,7775909;1,761593
0,7845559;0,1978908
-0,7845559;2,802109
0,7879841;1,041814
-0,7879841;1,958186
0,7887929;0,06778281
-0,7887929;2,932217
0,7929909;0,2290322
-0,7929909;2,770968
0,7941976;0,3307105
-0,7941976;2,669289
0,7962875;0,3122289
-0,7962875;2,687771
0,8018781;2,417637
-0,8018781;0,5823629
0,8040374;0,4015011
-0,8040374;2,598499
0,8077246;0,3391629
-0,8077246;2,660837
0,8160372;1,454163
-0,8160372;1,545837
0,8213574;0,426985
-0,8213574;2,573015
0,8215127;0,9001372
-0,8215127;2,099863
0,8231127;0,08951778
-0,8231127;2,910482
0,8371282;0,8248213
-0,8371282;2,175179
0,8441331;0,2340866
-0,8441331;2,765913
0,8496467;1,629334
-0,8496467;1,370666
0,8713266;0,9046247
-0,8713266;2,095375
0,876119;0,3240062
-0,876119;2,675994
0,8767867;1,317469
-0,8767867;1,682531
0,8825268;0,07479387
-0,8825268;2,925206
0,8825337;1,004073
-0,8825337;1,995927
